,LOCATION,TIME,Value,Pais
748,BGR,2015,3.0,Bulgaria
749,BGR,2016,1.6,Bulgaria
750,BGR,2017,4.4,Bulgaria
751,BGR,2018,5.8,Bulgaria
752,BGR,2019,3.4,Bulgaria
753,BGR,2020,4.0,Bulgaria
754,BGR,2021,3.7,Bulgaria
755,ROU,2005,8.3,Romania
756,ROU,2006,12.8,Romania
757,ROU,2007,15.2,Romania
758,ROU,2008,9.1,Romania
759,ROU,2009,-10.7,Romania
760,ROU,2010,-3.7,Romania
761,ROU,2011,1.8,Romania
762,ROU,2012,0.7,Romania
763,ROU,2013,-0.3,Romania
764,ROU,2014,3.7,Romania
765,ROU,2015,5.3,Romania
766,ROU,2016,5.1,Romania
767,ROU,2017,8.4,Romania
768,ROU,2018,5.5,Romania
769,ROU,2019,5.3,Romania
770,ROU,2020,3.8,Romania
771,ROU,2021,4.1,Romania
